Homogeneity,Mean,Energy,Correlation,Contrast,Output
0.960662312,18.73292542,0.573107754,0.823308912,0.456387868,1
0.954866619,27.0647227,0.420137726,0.853721303,0.523621324,1
0.960757816,29.47789001,0.459803663,0.884276345,0.481740196,1
0.976718695,31.07586161,0.540382243,0.987480096,0.097457108,1
0.966973258,50.70576477,0.386375313,0.984209853,0.18471201,1
0.968584413,35.37654622,0.461916178,0.975628267,0.184344363,1
0.941506751,62.64798991,0.345331946,0.942760059,0.693964461,1
0.975305971,17.94470723,0.694897303,0.925126188,0.280851716,1
0.97762295,20.05201721,0.685098245,0.981277612,0.069822304,1
0.968339625,21.13356018,0.533199305,0.883291853,0.297518382,1
0.950651607,45.25336711,0.402869315,0.948371608,0.370879289,1
0.977184856,42.76867167,0.540051383,0.983909,0.169577206,1
0.975239882,47.88719177,0.464628642,0.981355329,0.195511642,1
0.954396884,19.82020569,0.737810902,0.843625758,0.843091299,1
0.985273875,26.70335388,0.629055884,0.968998622,0.174770221,1
0.983048881,31.82961019,0.542030716,0.969044875,0.180729167,1
0.970298239,28.37532552,0.375632225,0.948330563,0.208318015,1
0.981523255,17.13389587,0.473800734,0.912034625,0.142693015,1
0.976421204,52.6910553,0.442101686,0.970654681,0.359175858,1
0.981776888,50.50832621,0.426804362,0.978733595,0.23114277,1
0.967553834,31.65881348,0.532710235,0.948076362,0.340088848,1
0.9816959,23.1528066,0.738704016,0.957278862,0.284803922,1
0.981331444,17.07102966,0.597198644,0.952332814,0.082567402,1
0.968544822,22.85026042,0.538245392,0.913707738,0.298575368,1
0.962274597,36.35165405,0.403707959,0.95428396,0.325811887,1
0.914499537,56.24362183,0.287588489,0.886837601,0.906066176,1
0.94037744,38.65459188,0.406297401,0.917612641,0.509803922,1
0.919598342,39.17440287,0.57831627,0.819021034,1.896890319,1
0.954284547,55.76792908,0.283445279,0.952774814,0.377052696,1
0.939254402,31.78485616,0.536990342,0.89561822,0.725061275,1
0.946609587,29.0241038,0.554578458,0.912357431,0.564859069,1
0.98308519,10.16589864,0.841723207,0.925163752,0.154166667,1
0.975408406,7.546168009,0.885579603,0.75025342,0.425214461,1
0.977559651,20.35975138,0.736647517,0.947216178,0.332261029,1
0.911519188,38.36462402,0.446209514,0.775979698,1.406740196,1
0.973904153,26.37994385,0.677627851,0.951428701,0.245818015,1
0.949762415,20.39166768,0.621015702,0.887754127,0.383164828,1
0.917467484,39.00092061,0.522904824,0.896725357,0.763449755,1
0.963410984,30.52496338,0.482935366,0.922284417,0.296583946,1
0.974202137,21.85833232,0.753225649,0.916252683,0.526393995,1
0.938470873,29.30329386,0.518229889,0.851261504,0.834436275,1
0.954269174,22.71238708,0.660219994,0.837942115,0.913602941,1
0.954715001,19.03098551,0.712971473,0.832122756,0.891559436,1
0.965417469,23.77383931,0.720618621,0.928180615,0.440272672,1
0.965620623,20.17080688,0.764176769,0.917482119,0.425566789,1
0.947611516,29.34995015,0.515863129,0.874963859,0.781265319,1
0.957447898,30.44704183,0.575152287,0.917967362,0.601685049,1
0.954368581,43.39105733,0.493603462,0.943331066,0.618520221,1
0.949193055,40.5274353,0.491558766,0.892764666,0.877772672,1
0.96632683,27.88724772,0.612095662,0.921945768,0.486933211,1
0.968176281,21.72168986,0.67909566,0.913106909,0.452190564,1
0.958200554,24.65964762,0.573097167,0.871294615,0.490594363,1
0.968835693,30.89804077,0.630073177,0.937042462,0.501041667,1
0.911409113,33.50426737,0.32505481,0.807186401,0.908134191,1
0.951213545,38.26830546,0.486523618,0.941834086,0.502113971,1
0.923776607,35.32376607,0.378010237,0.84131019,0.887530637,1
0.944778901,39.17351278,0.398120289,0.908234977,0.529365809,1
0.9540017,41.11623637,0.3266823,0.942236389,0.225643382,1
0.951460686,21.41724141,0.656783806,0.842690776,0.668167892,1
0.951356738,40.03462728,0.367393656,0.940589051,0.391896446,1
0.976319627,32.40256246,0.39897108,0.934194025,0.138327206,1
0.956788705,47.39585368,0.474454178,0.965668381,0.390992647,1
0.957567803,42.07036845,0.307327801,0.889840992,0.295634191,1
0.946435611,39.11306763,0.294117497,0.905316628,0.216007966,1
0.977473484,30.92669678,0.617620043,0.967223232,0.268795956,1
0.973212827,21.15208944,0.469101385,0.907871781,0.075214461,1
0.951692435,29.24583435,0.465488306,0.909628355,0.339246324,1
0.953182883,24.19590251,0.555996608,0.848019196,0.518213848,1
0.978761489,8.615102132,0.70815368,0.893457187,0.06651348,1
0.965751397,51.85188293,0.434026438,0.96105701,0.456433824,1
0.955813036,20.5358785,0.620404227,0.866031159,0.422824755,1
0.967091193,38.40472921,0.545736982,0.951560175,0.451608456,1
0.9353429,31.4773407,0.490207989,0.8965436,0.554947917,1
0.946846259,27.52440898,0.568593803,0.890005547,0.60323223,1
0.961689006,32.45765177,0.542112095,0.93260695,0.435707721,1
0.971536568,34.08019511,0.595873816,0.954897135,0.425045956,1
0.946956316,23.77283223,0.549964733,0.855184111,0.585003064,1
0.930446173,27.07843526,0.506063081,0.834382293,0.648529412,1
0.918697205,41.06072998,0.397646213,0.870312238,1.120021446,1
0.964353043,36.51757813,0.456249893,0.936225653,0.199571078,1
0.951277136,36.16968282,0.461126915,0.890187195,0.465134804,1
0.95796255,45.37152608,0.367952333,0.943518288,0.195802696,1
0.915126944,31.38115946,0.456370074,0.816553825,1.02544424,1
0.942608434,29.67486064,0.580645838,0.886487166,0.73817402,1
0.920343247,30.12327067,0.505740651,0.772676186,1.105193015,1
0.951335018,19.25241597,0.576147071,0.797936031,0.568198529,1
0.889973247,80.17774963,0.207685899,0.913367423,1.005698529,1
0.96616996,35.68976847,0.468168694,0.935613639,0.446798407,1
0.929051832,33.03793335,0.394286348,0.878267728,0.619010417,1
0.970120434,20.38215637,0.613072261,0.917038326,0.206035539,1
0.941917254,27.63313293,0.39133729,0.863453889,0.464874387,1
0.922493307,58.89750163,0.313093872,0.916951377,0.717677696,1
0.96449268,23.57006836,0.516601951,0.927552833,0.23203125,1
0.951921266,27.90689596,0.466994576,0.924638888,0.312040441,1
0.951188488,25.68444316,0.536796312,0.885033879,0.517279412,1
0.960395786,28.65498352,0.529085446,0.926682102,0.384803922,1
0.953362329,56.72569275,0.342844064,0.944621638,0.600474877,1
0.940526487,44.15743001,0.430860233,0.895377303,1.021415441,1
